post_id,is_misinformation,truth_value,total_reach,total_shares,total_flags,category_news,category_gossip,category_entertainment,category_politics,category_science,category_health,emotional_intensity,credibility_score,source_reliability,emotional_credibility_gap,sensationalism_score,early_reach,early_shares,early_flags,early_ignores,early_verifications,early_share_rate,early_flag_rate,early_ignore_rate,early_verification_rate,early_velocity,share_acceleration,avg_early_confidence,confidence_variance,early_immediate_sharers,early_cautious_sharers,early_skeptics,early_influencers,early_lurkers,skeptic_share_ratio,immediate_sharer_ratio,first_share_tick,first_flag_tick,time_to_first_flag,immediate_share_ratio,verified_share_ratio,avg_trust_modifier,high_trust_shares
ee329385,0,true,7,2,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,3,1,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.1,-1,0.789,0.0,1,0,0,0,0,0.0,1.0,2,,,1.0,0.0,0.533,0
0da09054,1,mixed,11,3,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,7,3,0,2,2,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,0.3,-3,0.7223333333333333,0.019742888888888897,1,0,0,2,0,0.0,0.3333333333333333,2,,,1.0,0.0,0.591,0
92bd4ce7,1,false,11,3,2,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,8,2,1,1,4,0.25,0.125,0.125,0.5,0.2,-2,1.0,0.0,2,0,0,0,0,0.0,1.0,3,5,2,1.0,0.0,0.693,2
1aff6e8d,0,true,12,4,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,9,4,0,0,6,0.4444444444444444,0.0,0.0,0.6666666666666666,0.4,4,0.94025,0.005781187500000003,3,0,0,1,0,0.0,0.75,5,,,0.75,0.25,0.645,4
4b2cbb4a,1,mixed,9,3,1,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,1,1,0,0,0,1.0,0.0,0.0,0.0,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,7,,,1.0,0.0,0.488,0
4eeab099,1,false,10,2,1,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,8,2,1,0,5,0.25,0.125,0.0,0.625,0.2,2,0.9804999999999999,0.0003802500000000007,2,0,0,0,0,0.0,1.0,7,7,0,1.0,0.0,0.693,2
54f6b270,0,true,11,4,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,8,4,0,2,4,0.5,0.0,0.25,0.5,0.4,0,0.9585,0.005166750000000002,3,0,0,1,0,0.0,0.75,0,,,0.5,0.5,0.6372500000000001,3
2dd6b7ad,0,true,6,2,1,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,6,2,1,2,1,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2,0,0.8594999999999999,0.00015625000000000027,2,0,0,0,0,0.0,1.0,0,1,1,1.0,0.0,0.5349999999999999,0
a0282df9,1,mixed,3,0,3,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,3,0,3,0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,1,,0.0,0.0,0.0,0
a23ef1d5,0,true,11,5,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,8,5,0,0,4,0.625,0.0,0.0,0.5,0.5,1,0.8326,0.015156239999999996,3,1,0,1,0,0.0,0.6,2,,,0.8,0.2,0.6452,4
4ac4ae10,1,false,11,4,1,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,4,2,1,0,2,0.5,0.25,0.0,0.5,0.2,-2,0.7985,0.03980025,1,0,0,1,0,0.0,0.5,3,2,-1,0.5,0.5,0.685,2
4181c9e6,1,false,11,4,2,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,4,2,1,1,0,0.5,0.25,0.25,0.0,0.2,-2,0.8815,0.01404225,1,0,0,1,0,0.0,0.5,3,3,0,1.0,0.0,0.685,2
8b649976,1,false,9,3,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,5,2,0,1,2,0.4,0.0,0.2,0.4,0.2,0,0.989,0.00012100000000000022,2,0,0,0,0,0.0,1.0,4,,,1.0,0.0,0.677,2
3a10304b,0,unverified,11,4,5,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,8,3,4,1,0,0.375,0.5,0.125,0.0,0.3,3,0.8753333333333333,0.02505155555555555,2,0,0,1,0,0.0,0.6666666666666666,5,5,0,1.0,0.0,0.55,0
07bd75d1,0,true,12,5,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,10,4,0,2,4,0.4,0.0,0.2,0.4,0.4,0,0.9505,0.007350749999999996,3,0,0,1,0,0.0,0.75,0,,,1.0,0.0,0.5285,0
e8c97264,1,false,9,2,0,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,7,2,0,0,6,0.2857142857142857,0.0,0.0,0.8571428571428571,0.2,-2,0.861,0.019321000000000005,1,0,0,1,0,0.0,0.5,1,,,0.5,0.5,0.678,2
bccae158,1,false,6,0,2,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,6,0,2,1,3,0.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,2,,0.0,0.0,0.0,0
be6bc3a2,1,mixed,6,0,3,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,6,0,3,0,3,0.0,0.5,0.0,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,3,,0.0,0.0,0.0,0
9097af28,0,true,9,3,1,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,2,1,0,1,0,0.5,0.0,0.5,0.0,0.1,1,0.951,0.0,1,0,0,0,0,0.0,1.0,5,,,1.0,0.0,0.454,0
9cce1dc1,1,mixed,8,1,2,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,4,1,0,0,3,0.25,0.0,0.0,0.75,0.1,1,0.721,0.0,0,0,0,1,0,0.0,0.0,5,,,1.0,0.0,0.541,0
dc4a420e,0,unverified,7,0,3,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,7,0,3,0,4,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,6,,0.0,0.0,0.0,0
8abd5f97,0,true,12,5,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,5,2,0,1,2,0.4,0.0,0.2,0.4,0.2,2,0.9125,0.007656250000000004,2,0,0,0,0,0.0,1.0,7,,,1.0,0.0,0.566,0
c5c06881,1,mixed,8,3,1,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,7,3,1,0,3,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.3,-1,1.0,0.0,3,0,0,0,0,0.0,1.0,0,9,9,1.0,0.0,0.6396666666666667,2
d7644a58,0,true,12,6,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,9,4,0,1,6,0.4444444444444444,0.0,0.1111111111111111,0.6666666666666666,0.4,-2,0.83525,0.032707687500000006,2,1,0,1,0,0.0,0.5,1,,,0.5,0.5,0.6705,4
d568dc10,0,true,12,5,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,7,3,0,2,3,0.42857142857142855,0.0,0.2857142857142857,0.42857142857142855,0.3,-3,0.7853333333333333,0.024641555555555555,1,1,0,1,0,0.0,0.3333333333333333,2,,,0.6666666666666666,0.3333333333333333,0.663,3
36e9240e,0,true,12,7,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,4,1,0,1,2,0.25,0.0,0.25,0.5,0.1,-1,0.563,0.0,0,1,0,0,0,0.0,0.0,3,,,1.0,0.0,0.526,0
859b512e,0,true,12,5,1,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,7,3,1,1,4,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.3,-1,0.7836666666666666,0.032604222222222215,1,1,0,1,0,0.0,0.3333333333333333,4,4,0,0.3333333333333333,0.6666666666666666,0.663,3
c5294c02,0,unverified,3,0,1,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,3,0,1,0,2,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,6,,0.0,0.0,0.0,0
3cdbb6ee,1,false,10,3,3,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,7,1,3,2,1,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,7,6,-1,1.0,0.0,0.663,1
2a876fca,1,false,11,5,2,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,4,1,1,1,1,0.25,0.25,0.25,0.25,0.1,1,0.591,0.0,0,1,0,0,0,0.0,0.0,8,8,0,1.0,0.0,0.526,0
8b75ddb3,1,false,0,0,0,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
0c9062e3,0,true,2,0,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
2a334be4,0,unverified,11,3,2,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,9,3,1,2,3,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3,-1,0.8806666666666666,0.02730422222222222,2,0,0,1,0,0.0,0.6666666666666666,0,1,1,1.0,0.0,0.5756666666666667,2
b73dcfb0,0,true,5,0,1,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,5,0,1,1,3,0.0,0.2,0.2,0.6,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,1,,0.0,0.0,0.0,0
293462ab,1,mixed,2,0,0,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
75cde323,1,mixed,12,4,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,12,4,0,3,5,0.3333333333333333,0.0,0.25,0.4166666666666667,0.4,-2,0.8345,0.02685025,3,0,0,1,0,0.0,0.75,3,,,1.0,0.0,0.68275,4
c56fd868,1,false,12,4,2,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,8,3,0,1,4,0.375,0.0,0.125,0.5,0.3,1,0.8603333333333333,0.02525755555555555,2,0,0,1,0,0.0,0.6666666666666666,4,,,1.0,0.0,0.69,3
c5204e0a,0,true,0,0,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
4f733e53,0,true,12,7,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,11,6,0,0,7,0.5454545454545454,0.0,0.0,0.6363636363636364,0.6,0,0.7803333333333334,0.01549822222222222,2,3,0,1,0,0.0,0.3333333333333333,0,,,0.6666666666666666,0.3333333333333333,0.6184999999999999,3
5c2bb1b6,0,true,5,1,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,5,1,0,1,3,0.2,0.0,0.2,0.6,0.1,-1,1.0,0.0,1,0,0,0,0,0.0,1.0,1,,,1.0,0.0,0.678,1
f539baab,1,false,11,3,3,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,6,2,1,1,2,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,-2,0.954,0.002115999999999999,2,0,0,0,0,0.0,1.0,2,3,1,1.0,0.0,0.52,0
5b21a608,1,mixed,5,1,1,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,5,1,1,2,2,0.2,0.2,0.4,0.4,0.1,-1,1.0,0.0,1,0,0,0,0,0.0,1.0,3,4,1,0.0,1.0,0.678,1
7c4210c9,0,unverified,5,1,2,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,5,1,2,0,2,0.2,0.4,0.0,0.4,0.1,-1,1.0,0.0,1,0,0,0,0,0.0,1.0,4,5,1,1.0,0.0,0.678,1
e35ba94e,1,mixed,10,4,4,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,5,2,3,0,1,0.4,0.6,0.0,0.2,0.2,2,0.8055,0.023870249999999992,1,1,0,0,0,0.0,0.5,5,6,1,0.5,0.5,0.678,2
f1c032f0,1,false,5,1,0,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,5,1,0,0,4,0.2,0.0,0.0,0.8,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,6,,,1.0,0.0,0.678,1
849bbfa7,0,true,5,1,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,5,1,0,0,4,0.2,0.0,0.0,0.8,0.1,1,0.928,0.0,1,0,0,0,0,0.0,1.0,7,,,1.0,0.0,0.678,1
1df764cf,1,false,10,4,2,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,8,4,1,0,4,0.5,0.125,0.0,0.5,0.4,-2,0.9115,0.023496749999999997,3,0,0,1,0,0.0,0.75,0,0,0,0.75,0.25,0.6555,3
131fdc8c,1,false,10,4,2,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,6,3,1,0,2,0.5,0.16666666666666666,0.0,0.3333333333333333,0.3,-3,0.8690000000000001,0.020820666666666657,2,0,0,1,0,0.0,0.6666666666666666,1,1,0,1.0,0.0,0.659,3
2ac4de86,1,mixed,9,3,0,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,6,2,0,0,6,0.3333333333333333,0.0,0.0,1.0,0.2,-2,0.9915,7.225000000000013e-05,2,0,0,0,0,0.0,1.0,2,,,0.0,1.0,0.507,0
50a7f619,0,true,10,5,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,6,3,0,0,4,0.5,0.0,0.0,0.6666666666666666,0.3,-3,0.7166666666666667,0.006990888888888893,2,0,0,1,0,0.0,0.6666666666666666,3,,,0.6666666666666666,0.3333333333333333,0.689,3
be8568b5,0,true,4,0,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,4,0,0,2,2,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
d7969db9,1,mixed,9,2,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,6,1,0,1,4,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.1,1,0.746,0.0,1,0,0,0,0,0.0,1.0,6,,,1.0,0.0,0.689,1
b93f85bc,0,unverified,5,0,0,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,5,0,0,2,3,0.0,0.0,0.4,0.6,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0
d8974454,0,true,11,5,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,6,2,0,0,5,0.3333333333333333,0.0,0.0,0.8333333333333334,0.2,2,0.872,0.0010890000000000019,2,0,0,0,0,0.0,1.0,7,,,0.5,0.5,0.689,2
f79bf535,1,false,12,4,2,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,11,4,1,4,3,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.4,-2,0.90875,0.015586687500000003,3,0,0,1,0,0.0,0.75,0,0,0,0.75,0.25,0.6639999999999999,3
f27ddd36,0,true,12,4,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,5,3,0,1,2,0.6,0.0,0.2,0.4,0.3,-3,0.8723333333333333,0.011653555555555556,2,0,0,1,0,0.0,0.6666666666666666,2,,,0.6666666666666666,0.3333333333333333,0.669,3
bad45656,1,false,9,3,2,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,5,2,1,1,1,0.4,0.2,0.2,0.2,0.2,-2,1.0,0.0,2,0,0,0,0,0.0,1.0,3,3,0,1.0,0.0,0.669,2
9c69b6bd,1,mixed,1,0,1,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,1,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,3,,0.0,0.0,0.0,0
6aa980af,0,true,12,5,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,9,4,0,1,6,0.4444444444444444,0.0,0.1111111111111111,0.6666666666666666,0.4,0,0.81925,0.012516687500000002,2,1,0,1,0,0.0,0.5,4,,,0.5,0.5,0.693,4
76d11c9a,0,true,11,6,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.2,2,0.644,0.00036100000000000064,0,1,0,1,0,0.0,0.0,5,,,1.0,0.0,0.485,0
7aba8515,0,unverified,12,4,4,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,5,3,1,1,0,0.6,0.2,0.2,0.0,0.3,3,0.8490000000000001,0.045602,2,0,0,1,0,0.0,0.6666666666666666,6,7,1,1.0,0.0,0.669,3
f91e29aa,1,mixed,12,3,1,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,5,2,0,2,3,0.4,0.0,0.4,0.6,0.2,2,0.8465,0.023562250000000007,1,0,0,1,0,0.0,0.5,7,,,0.0,1.0,0.669,2
e034bcd6,1,mixed,10,5,1,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,9,4,1,2,3,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4,-2,0.73725,0.0575896875,2,1,0,1,0,0.0,0.5,0,8,8,0.75,0.25,0.6595,4
37a0979f,0,true,10,4,1,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,7,2,1,0,6,0.2857142857142857,0.14285714285714285,0.0,0.8571428571428571,0.2,-2,0.5585,0.00034224999999999853,0,1,0,1,0,0.0,0.0,1,9,8,0.0,1.0,0.652,2
d515f581,1,false,8,3,3,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,5,2,2,0,2,0.4,0.4,0.0,0.4,0.2,-2,0.98,0.0004000000000000007,2,0,0,0,0,0.0,1.0,2,2,0,0.5,0.5,0.682,2
4572cdec,0,true,8,4,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,5,2,0,0,3,0.4,0.0,0.0,0.6,0.2,-2,0.864,0.00032400000000000056,2,0,0,0,0,0.0,1.0,3,,,1.0,0.0,0.682,2
508957f1,0,unverified,8,3,1,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,5,2,1,0,3,0.4,0.2,0.0,0.6,0.2,-2,0.994,3.600000000000006e-05,2,0,0,0,0,0.0,1.0,4,4,0,0.5,0.5,0.682,2
8ae2e683,1,mixed,10,5,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,5,3,0,1,3,0.6,0.0,0.2,0.6,0.3,3,0.666,0.02269066666666666,1,1,0,1,0,0.0,0.3333333333333333,5,,,0.3333333333333333,0.6666666666666666,0.652,3
80a95470,1,false,8,3,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,5,2,1,0,2,0.4,0.2,0.0,0.4,0.2,2,0.971,0.0008410000000000015,2,0,0,0,0,0.0,1.0,6,6,0,1.0,0.0,0.682,2
5e5a93f5,0,true,10,5,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,4,2,0,1,1,0.5,0.0,0.25,0.25,0.2,2,0.5765,0.007656250000000004,0,1,0,1,0,0.0,0.0,7,,,1.0,0.0,0.562,0
e8cbc499,1,false,9,3,2,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,9,3,2,1,4,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.3,-1,0.8703333333333333,0.033626888888888894,2,0,0,1,0,0.0,0.6666666666666666,0,8,8,0.6666666666666666,0.3333333333333333,0.624,2
14d0d690,0,true,8,2,1,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,6,2,1,1,3,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.2,-2,0.786,0.04579600000000001,1,1,0,0,0,0.0,0.5,1,1,0,0.5,0.5,0.65,2
fb0e4e86,1,false,4,0,3,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,4,0,3,0,1,0.0,0.75,0.0,0.25,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,2,,0.0,0.0,0.0,0
18cebc36,1,false,8,2,1,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,4,1,1,0,3,0.25,0.25,0.0,0.75,0.1,-1,1.0,0.0,1,0,0,0,0,0.0,1.0,3,3,0,0.0,1.0,0.527,0
4a2ea0e1,1,mixed,9,3,2,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,6,2,2,1,1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.2,-2,1.0,0.0,2,0,0,0,0,0.0,1.0,4,4,0,1.0,0.0,0.65,2
5f806f7d,0,true,9,4,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,5,2,0,1,3,0.4,0.0,0.2,0.6,0.2,2,0.7909999999999999,0.004900000000000001,1,1,0,0,0,0.0,0.5,5,,,0.5,0.5,0.671,2
6c79680d,0,true,9,4,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,6,3,0,0,4,0.5,0.0,0.0,0.6666666666666666,0.3,3,0.8146666666666667,0.017526888888888894,1,2,0,0,0,0.0,0.3333333333333333,6,,,0.6666666666666666,0.3333333333333333,0.65,3
21bc21f8,1,mixed,9,3,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,6,2,0,0,5,0.3333333333333333,0.0,0.0,0.8333333333333334,0.2,2,0.9605,0.0015602499999999985,2,0,0,0,0,0.0,1.0,7,,,0.5,0.5,0.65,2
d3cb28d4,0,unverified,8,2,1,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,8,2,1,1,5,0.25,0.125,0.125,0.625,0.2,-2,1.0,0.0,2,0,0,0,0,0.0,1.0,0,1,1,0.5,0.5,0.673,2
ceece548,0,true,11,6,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,5,1,0,1,3,0.2,0.0,0.2,0.6,0.1,-1,0.775,0.0,1,0,0,0,0,0.0,1.0,2,,,1.0,0.0,0.49,0
bca37d88,0,true,11,5,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,5,1,0,2,2,0.2,0.0,0.4,0.4,0.1,-1,0.976,0.0,1,0,0,0,0,0.0,1.0,3,,,1.0,0.0,0.49,0
9684f02a,1,false,10,4,1,0,1,0,0,0,0,0.9,0.2,0.1,0.7200000000000001,0.6480000000000001,8,4,1,0,3,0.5,0.125,0.0,0.375,0.4,-4,0.9185,0.019926749999999993,3,0,0,1,0,0.0,0.75,3,5,2,1.0,0.0,0.673,4
f9e644d2,0,true,12,5,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,3,2,0,0,2,0.6666666666666666,0.0,0.0,0.6666666666666666,0.2,2,0.9695,0.0009302500000000016,2,0,0,0,0,0.0,1.0,5,,,0.5,0.5,0.506,0
