post_id,is_misinformation,truth_value,total_reach,total_shares,total_flags,category_news,category_gossip,category_entertainment,category_politics,category_science,category_health,emotional_intensity,credibility_score,source_reliability,emotional_credibility_gap,sensationalism_score,early_reach,early_shares,early_flags,early_ignores,early_verifications,early_share_rate,early_flag_rate,early_ignore_rate,early_verification_rate,early_velocity,share_acceleration,avg_early_confidence,confidence_variance,early_immediate_sharers,early_cautious_sharers,early_skeptics,early_influencers,early_lurkers,skeptic_share_ratio,immediate_sharer_ratio,early_developer_shares,early_tester_shares,early_pm_shares,early_janitor_shares,early_designer_shares,early_intern_shares,early_sales_shares,early_hr_shares,developer_share_ratio,tester_flag_ratio,pm_share_ratio,first_share_tick,first_flag_tick,time_to_first_flag,immediate_share_ratio,verified_share_ratio,avg_trust_modifier,high_trust_shares
a7e91fc3,0,unverified,11,3,2,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,11,3,2,1,6,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.3,-3,1.0,0.0,3,0,0,0,0,0.0,1.0,1,1,0,0,0,1,0,0,0.3333333333333333,0.0,0.0,0,0,0,0.6666666666666666,0.3333333333333333,0.673,3
ad6d110e,0,unverified,10,3,1,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,5,2,0,0,3,0.4,0.0,0.0,0.6,0.2,-2,1.0,0.0,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,3,,,1.0,0.0,0.576,0
36086685,0,true,11,3,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,11,3,0,1,8,0.2727272727272727,0.0,0.09090909090909091,0.7272727272727273,0.3,-1,0.8323333333333333,0.022562888888888893,2,0,0,1,0,0.0,0.6666666666666666,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0,,,0.6666666666666666,0.3333333333333333,0.6213333333333334,2
9a4c724f,1,false,7,1,2,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,5,1,2,1,1,0.2,0.4,0.2,0.2,0.1,-1,1.0,0.0,1,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,3,3,0,1.0,0.0,0.693,1
699f2016,0,true,10,4,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,2,2,0,0,1,1.0,0.0,0.0,0.5,0.2,2,0.8165,0.0022562499999999987,2,0,0,0,0,0.0,1.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,5,,,0.5,0.5,0.458,0
6b25a67c,1,false,11,4,2,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,3,2,0,0,2,0.6666666666666666,0.0,0.0,0.6666666666666666,0.2,0,0.8049999999999999,0.025920999999999993,1,0,0,1,0,0.0,0.5,2,0,0,0,0,0,0,0,1.0,0.0,0.0,4,,,0.5,0.5,0.495,0
20081ca6,0,true,10,4,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,5,3,0,0,3,0.6,0.0,0.0,0.6,0.3,3,0.8770000000000001,0.01740600000000001,2,0,0,1,0,0.0,0.6666666666666666,1,1,0,1,0,0,0,0,0.3333333333333333,0.0,0.0,5,,,0.6666666666666666,0.3333333333333333,0.669,3
c4cbc9bc,1,false,11,4,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,3,3,0,0,1,1.0,0.0,0.0,0.3333333333333333,0.3,1,0.9866666666666667,0.00010555555555555574,3,0,0,0,0,0.0,1.0,1,1,0,0,0,1,0,0,0.3333333333333333,0.0,0.0,3,,,0.6666666666666666,0.3333333333333333,0.5423333333333333,0
d4cb13ba,1,false,3,0,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,3,0,1,0,2,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,3,,0.0,0.0,0.0,0
86acc899,0,true,12,7,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,5,2,0,1,2,0.4,0.0,0.2,0.4,0.2,2,0.976,0.000576000000000001,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,5,,,1.0,0.0,0.576,0
fbce5ecc,1,false,3,0,2,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,3,0,2,0,1,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,5,,0.0,0.0,0.0,0
9148a3fc,1,mixed,9,3,1,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,5,2,0,1,3,0.4,0.0,0.2,0.6,0.2,2,0.8200000000000001,0.0324,1,0,0,1,0,0.0,0.5,2,0,0,0,0,0,0,0,1.0,0.0,0.0,6,,,0.5,0.5,0.676,2
677bdf20,1,false,10,3,0,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,7,2,0,0,7,0.2857142857142857,0.0,0.0,1.0,0.2,2,1.0,0.0,2,0,0,0,0,0.0,1.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,6,,,0.0,1.0,0.686,2
c98c5971,1,false,1,0,0,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
dd90aa64,1,false,3,0,0,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,3,0,0,2,1,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
644ffce7,0,unverified,5,1,2,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,5,1,2,0,2,0.2,0.4,0.0,0.4,0.1,-1,1.0,0.0,1,0,0,0,0,0.0,1.0,1,0,0,0,0,0,0,0,1.0,0.5,0.0,4,5,1,1.0,0.0,0.678,1
7ad46f16,1,false,8,3,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,5,2,1,0,2,0.4,0.2,0.0,0.4,0.2,2,0.971,0.0008410000000000015,2,0,0,0,0,0.0,1.0,0,1,0,0,0,1,0,0,0.0,1.0,0.0,6,6,0,1.0,0.0,0.682,2
31741c81,0,true,12,4,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,5,2,0,1,2,0.4,0.0,0.2,0.4,0.2,2,0.9824999999999999,0.00030625000000000053,2,0,0,0,0,0.0,1.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,6,,,1.0,0.0,0.642,2
3f53a98d,0,true,11,4,1,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,7,3,0,1,4,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,0.3,3,0.7976666666666666,0.02645488888888889,2,1,0,0,0,0.0,0.6666666666666666,1,0,1,0,0,1,0,0,0.3333333333333333,0.0,0.3333333333333333,5,,,0.6666666666666666,0.3333333333333333,0.691,3
cd5cda9a,0,true,2,0,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
8fdd34e8,0,true,0,0,0,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
bb50ef05,1,false,10,3,3,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,7,1,3,2,1,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,7,6,-1,1.0,0.0,0.663,1
3ad539d0,0,true,12,5,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,3,2,0,0,2,0.6666666666666666,0.0,0.0,0.6666666666666666,0.2,2,0.9695,0.0009302500000000016,2,0,0,0,0,0.0,1.0,1,0,0,0,0,1,0,0,0.5,0.0,0.0,5,,,0.5,0.5,0.506,0
cfa3db5e,0,true,9,3,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,9,3,0,0,7,0.3333333333333333,0.0,0.0,0.7777777777777778,0.3,-1,0.9049999999999999,0.011245999999999997,2,0,0,1,0,0.0,0.6666666666666666,2,1,0,0,0,0,0,0,0.6666666666666666,0.0,0.0,0,,,0.6666666666666666,0.3333333333333333,0.6736666666666666,3
de233d44,0,true,10,4,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,6,3,0,0,4,0.5,0.0,0.0,0.6666666666666666,0.3,-3,0.8156666666666667,0.022817555555555553,2,0,0,1,0,0.0,0.6666666666666666,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0,,,0.6666666666666666,0.3333333333333333,0.569,0
56f30cae,1,false,7,1,0,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,6,1,0,0,5,0.16666666666666666,0.0,0.0,0.8333333333333334,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,5,,,1.0,0.0,0.607,1
123a51b1,1,false,4,0,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,4,0,1,0,3,0.0,0.25,0.0,0.75,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,5,,0.0,0.0,0.0,0
414bfbec,0,true,8,2,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,8,2,0,2,6,0.25,0.0,0.25,0.75,0.2,0,0.5115,0.006320249999999998,0,1,0,1,0,0.0,0.0,1,0,0,0,0,0,1,0,0.5,0.0,0.0,2,,,0.0,1.0,0.6785000000000001,2
49eae207,0,unverified,12,3,3,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,9,3,2,0,5,0.3333333333333333,0.2222222222222222,0.0,0.5555555555555556,0.3,1,0.851,0.04440199999999999,2,0,0,1,0,0.0,0.6666666666666666,1,0,0,1,0,1,0,0,0.3333333333333333,0.5,0.0,1,1,0,0.6666666666666666,0.3333333333333333,0.6563333333333333,3
4c24504c,0,true,2,0,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
dae9286e,1,false,9,2,2,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,5,1,1,0,3,0.2,0.2,0.0,0.6,0.1,1,1.0,0.0,1,0,0,0,0,0.0,1.0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,7,6,-1,1.0,0.0,0.583,0
3f787a19,1,false,11,4,1,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,4,2,1,0,2,0.5,0.25,0.0,0.5,0.2,-2,0.7985,0.03980025,1,0,0,1,0,0.0,0.5,1,0,0,0,0,1,0,0,0.5,1.0,0.0,3,2,-1,0.5,0.5,0.685,2
d7e2d26a,0,true,11,6,0,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,7,5,0,0,4,0.7142857142857143,0.0,0.0,0.5714285714285714,0.5,5,0.7482,0.02698896,2,2,0,1,0,0.0,0.4,2,0,0,1,0,1,1,0,0.4,0.0,0.0,5,,,0.6,0.4,0.685,5
48d8fb02,0,true,10,2,2,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,8,2,2,3,1,0.25,0.25,0.375,0.125,0.2,-2,1.0,0.0,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,2,3,1,1.0,0.0,0.649,2
e5b1331b,1,mixed,11,5,1,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,7,3,1,0,4,0.42857142857142855,0.14285714285714285,0.0,0.5714285714285714,0.3,-3,0.847,0.010698,2,1,0,0,0,0.0,0.6666666666666666,1,1,0,1,0,0,0,0,0.3333333333333333,0.0,0.0,3,3,0,0.6666666666666666,0.3333333333333333,0.684,3
6e0fecf6,0,true,12,5,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,9,4,0,1,6,0.4444444444444444,0.0,0.1111111111111111,0.6666666666666666,0.4,0,0.81925,0.012516687500000002,2,1,0,1,0,0.0,0.5,1,1,0,2,0,0,0,0,0.25,0.0,0.0,4,,,0.5,0.5,0.693,4
f83be279,1,mixed,2,0,0,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
df5232f2,1,mixed,8,2,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,8,2,0,1,5,0.25,0.0,0.125,0.625,0.2,0,0.987,0.0001690000000000003,2,0,0,0,0,0.0,1.0,1,0,0,0,0,1,0,0,0.5,0.0,0.0,0,,,1.0,0.0,0.5955,1
038b8010,1,mixed,2,0,0,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
598b74a4,1,mixed,10,3,2,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,2,1,0,0,2,0.5,0.0,0.0,1.0,0.1,-1,0.747,0.0,0,0,0,1,0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4,,,0.0,1.0,0.436,0
85828593,0,true,8,3,1,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,7,3,1,2,2,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.3,-1,0.8616666666666667,0.03827222222222223,2,0,0,1,0,0.0,0.6666666666666666,2,0,0,0,0,1,0,0,0.6666666666666666,1.0,0.0,0,4,4,0.6666666666666666,0.3333333333333333,0.6636666666666667,3
008fa934,0,true,10,3,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,6,2,0,1,4,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666666,0.2,-2,0.7875,0.04515625000000001,1,0,0,1,0,0.0,0.5,1,1,0,0,0,0,0,0,0.5,0.0,0.0,4,,,0.5,0.5,0.647,2
bae61a80,1,mixed,11,3,0,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,8,3,0,2,4,0.375,0.0,0.25,0.5,0.3,1,1.0,0.0,3,0,0,0,0,0.0,1.0,1,1,0,0,0,1,0,0,0.3333333333333333,0.0,0.0,0,,,0.6666666666666666,0.3333333333333333,0.5563333333333333,1
152ed3e4,1,false,9,2,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,4,1,0,1,2,0.25,0.0,0.25,0.5,0.1,-1,1.0,0.0,1,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,3,,,1.0,0.0,0.525,0
39ccb4d4,1,false,7,2,1,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,7,2,1,0,4,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,0.2,0,0.97,0.0009000000000000016,2,0,0,0,0,0.0,1.0,1,0,0,0,0,1,0,0,0.5,0.0,0.0,0,1,1,1.0,0.0,0.6005,1
50902f7f,0,true,9,4,0,0,0,0,0,0,1,0.3,0.9,0.95,0.029999999999999992,0.001500000000000001,7,3,0,1,5,0.42857142857142855,0.0,0.14285714285714285,0.7142857142857143,0.3,1,0.8353333333333333,0.011509555555555558,2,1,0,0,0,0.0,0.6666666666666666,1,1,0,0,0,0,1,0,0.3333333333333333,0.0,0.0,1,,,0.3333333333333333,0.6666666666666666,0.5710000000000001,1
a9fd6d0c,1,mixed,9,3,0,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,6,2,0,0,6,0.3333333333333333,0.0,0.0,1.0,0.2,-2,0.9915,7.225000000000013e-05,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,2,,,0.0,1.0,0.507,0
6c5b9a0f,1,mixed,9,2,2,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,8,2,2,1,3,0.25,0.25,0.125,0.375,0.2,2,0.8875,4.225000000000008e-05,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,5,6,1,1.0,0.0,0.687,2
e1840a36,1,mixed,10,4,2,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,6,4,0,0,3,0.6666666666666666,0.0,0.0,0.5,0.4,0,0.76725,0.040899687500000004,2,0,0,2,0,0.0,0.5,1,1,0,1,0,1,0,0,0.25,0.0,0.0,0,,,0.75,0.25,0.5905,2
52292175,1,false,12,5,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,6,2,1,3,0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.2,0,0.9964999999999999,1.2250000000000022e-05,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,4,5,1,1.0,0.0,0.537,0
9908c096,1,mixed,11,3,2,0,0,0,1,0,0,0.7,0.5,0.4,0.35,0.21,8,2,1,2,3,0.25,0.125,0.25,0.375,0.2,0,1.0,0.0,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,4,5,1,1.0,0.0,0.678,2
c4824ab1,0,unverified,10,2,3,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,4,2,1,0,1,0.5,0.25,0.0,0.25,0.2,-2,1.0,0.0,2,0,0,0,0,0.0,1.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,3,3,0,1.0,0.0,0.667,2
9fdb7f92,1,mixed,10,4,4,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,5,2,3,0,1,0.4,0.6,0.0,0.2,0.2,2,0.8055,0.023870249999999992,1,1,0,0,0,0.0,0.5,1,0,1,0,0,0,0,0,0.5,0.3333333333333333,0.5,5,6,1,0.5,0.5,0.678,2
e5ca1cd3,0,true,10,4,1,1,0,0,0,0,0,0.2,0.85,0.9,0.030000000000000006,0.003,7,3,0,1,3,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.3,-1,0.7216666666666667,0.03832688888888888,1,0,0,2,0,0.0,0.3333333333333333,1,1,0,1,0,0,0,0,0.3333333333333333,0.0,0.0,0,,,1.0,0.0,0.523,1
10a02db1,0,unverified,9,3,2,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,9,3,2,1,4,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.3,1,0.847,0.04681799999999999,2,0,0,1,0,0.0,0.6666666666666666,2,1,0,0,0,0,0,0,0.6666666666666666,0.0,0.0,4,5,1,0.6666666666666666,0.3333333333333333,0.6306666666666667,2
02d4e4cc,0,true,10,3,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,5,1,0,1,3,0.2,0.0,0.2,0.6,0.1,1,0.96,0.0,1,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,5,,,1.0,0.0,0.647,1
f1e3152a,1,false,2,0,0,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
4bbf6b21,1,false,10,3,1,1,0,0,0,0,0,0.85,0.15,0.1,0.7224999999999999,0.65025,5,2,0,0,3,0.4,0.0,0.0,0.6,0.2,2,0.979,0.0004410000000000008,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,6,,,1.0,0.0,0.64,2
87553eac,0,unverified,2,0,0,0,1,0,0,0,0,0.6,0.3,0.2,0.42,0.33599999999999997,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
5478e2e6,0,true,8,2,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,8,2,0,3,4,0.25,0.0,0.375,0.5,0.2,0,0.9259999999999999,0.005476000000000002,1,0,0,1,0,0.0,0.5,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0,,,0.5,0.5,0.6575,2
6080e0cf,0,true,3,0,0,0,0,1,0,0,0,0.5,0.7,0.6,0.15000000000000002,0.06000000000000001,3,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
80303dd4,0,true,9,3,1,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,6,2,1,1,3,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.2,0,0.9565,0.0018922499999999985,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.0,0.0,0,1,1,0.5,0.5,0.6105,1
8ea698d2,1,mixed,10,3,1,0,0,0,0,1,0,0.6,0.6,0.5,0.24,0.12,10,3,1,1,7,0.3,0.1,0.1,0.7,0.3,-3,0.8416666666666667,0.01701355555555555,2,0,0,1,0,0.0,0.6666666666666666,2,1,0,0,0,0,0,0,0.6666666666666666,0.0,0.0,3,4,1,0.3333333333333333,0.6666666666666666,0.642,3
0b234217,0,true,11,5,1,0,0,0,0,1,0,0.5,0.85,0.9,0.07500000000000001,0.0075,10,4,1,0,6,0.4,0.1,0.0,0.6,0.4,-2,0.7967500000000001,0.04365668749999999,2,1,0,1,0,0.0,0.5,1,1,0,0,0,1,1,0,0.25,0.0,0.0,0,1,1,0.75,0.25,0.6112500000000001,3
a05f5ae5,1,false,7,2,3,0,0,0,0,0,1,0.95,0.1,0.05,0.855,0.81225,7,2,3,1,1,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2,0,1.0,0.0,2,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.5,0.3333333333333333,0.0,0,1,1,1.0,0.0,0.614,1
